price,title,province,location,lat,lng,characteristics,agency,updated,timestamp,id_1,id_2
34.000 €,"Casa pareada en venta en Calle Genova, 17",almeria,"Calle Genova, 17. Instinción",36.9927,-2.65891,"['Superficie construida : 110 m²', 'Superficie útil : 90 m²', 'Superficie solar : 170 m²', 'Habitaciones : 3', 'Baños : 1', 'Tipo de casa : Pareada', 'Conservación : A reformar', 'Referencia : SA4606-REF 217 A-Z 2', 'Trastero', 'Terraza', 'Orientación : Oeste', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de HABITA ESTATE,1672873500.0,1697656475083801,34253719701,100500
130.000 €,Casa en venta en Canjáyar,almeria,Canjáyar,37.010652075,-2.739945142,"['Superficie construida : 298 m²', 'Superficie útil : 285 m²', 'Habitaciones : 7', 'Baños : 3', 'Referencia : SA3813-2907550', 'Trastero', 'Terraza', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']",Inmuebles de Topbrokers,1674515040.0,1697656479681886,30879747468,100500
70.000 €,"Casa pareada en venta en Calle del Carmen, 10",almeria,"Calle del Carmen, 10. Bentarique",36.986,-2.61947,"['Superficie construida : 110 m²', 'Superficie útil : 90 m²', 'Superficie solar : 67 m²', 'Habitaciones : 3', 'Baños : 2', 'Tipo de casa : Pareada', 'Conservación : En buen estado', 'Referencia : SA4409-BENTARIQUE  313', 'Armarios empotrados : 1', 'Aire acondicionado', 'Terraza', 'Orientación : Sur', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de FINCAS ALPUJARRA.COM,1674774540.0,1697656484661129,30930375205,100500
48.000 €,Casa en venta en Fondón,almeria,Fondón,36.979003417,-2.860593008,"['Superficie construida : 104 m²', 'Superficie útil : 90 m²', 'Habitaciones : 4', 'Baños : 2', 'Referencia : SA520-24736/1074', 'Tipo suelo : Gres', 'Agua', 'Chimenea', 'Terraza', 'Orientación : Este', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']",Inmuebles de Brisahogar,1674947160.0,1697656489753443,31740139999,100500
67.000 €,Piso en venta en Calle Garcia de los Salmones,almeria,,,,"['Superficie construida : 105 m²', 'Superficie útil : 87 m²', 'Habitaciones : 3', 'Baños : 1', 'Referencia : KU2-29000912', 'Amueblado : Sin amueblar', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Pedir más información']",Inmuebles de GIA,1673996460.0,1697656494482249,30870672123,108300
106.000 €,Finca rústica en venta en Chanata,almeria,Terque,36.9839634,-2.5974782,"['Superficie construida : 126 m²', 'Superficie útil : 120 m²', 'Superficie solar : 20.000 m²', 'Habitaciones : 3', 'Baños : 1', 'Referencia : SA1983-04430-7/7380', 'Amueblado', 'Tipo suelo : Gres', 'Agua', 'Chimenea', 'Comedor', 'Terraza', 'Clasificación:  No indicado', 'Pedir más información']",Inmuebles de GRUPO RUKASA,1673997000.0,169765650179274,27560569558,100500
69.000 €,Piso en venta en Fuente Victoria,almeria,Fondón,36.9855255,-2.8747861,"['Superficie construida : 72 m²', 'Superficie útil : 60 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 1ª', 'Referencia : SA960-PFUENTEVICTORIA/4908', 'Amueblado', 'Tipo suelo : Gres', 'Chimenea', 'Puerta blindada', 'Terraza', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']",Inmuebles de Salvador viviendas & locales,1674947280.0,1697656507110588,24175870610,100500
150.000 €,Casa rústica en venta en Alhama de Almería,almeria,Alhama de Almería,36.960659841,-2.573859312,"['Superficie construida : 180 m²', 'Superficie útil : 150 m²', 'Superficie solar : 300 m²', 'Habitaciones : 3', 'Baños : 2', 'Tipo de casa : Rústica', 'Conservación : En buen estado', 'Referencia : SA4891-102469613', 'Armarios empotrados : 1', 'Aire acondicionado', 'Chimenea', 'Garaje : 1', 'Trastero', 'Terraza', 'Orientación : Norte', 'Clasificación:  Disponible', 'Emisiones:  1 Kg CO2/m2 año  A B C D E F G']",Inmuebles de Solution Servicios Inmobiliarios,1672614600.0,1697656513060353,37575688942,100500
295.000 €,Chalet en venta en Calle Rio Andaarax,almeria,Calle Rio Andaarax. Terque,36.978,-2.58993,"['Superficie construida : 300 m²', 'Superficie útil : 290 m²', 'Superficie solar : 25.000 m²', 'Habitaciones : 3', 'Baños : 1', 'Conservación : En buen estado', 'Referencia : SA4891-99022561', 'Aire acondicionado', 'Garaje : 1', 'Trastero', 'Terraza', 'Orientación : Norte', 'Clasificación:  Disponible', 'Emisiones:  1 Kg CO2/m2 año  A B C D E F G']",Inmuebles de Solution Servicios Inmobiliarios,1672614600.0,1697656520788824,37552336309,100500
49.100 €,Apartamento en venta en Calle Algibe,almeria,Calle Algibe. Fondón,36.979892416,-2.861253961,"['Superficie construida : 85 m²', 'Superficie útil : 80 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 1ª', 'Exterior', 'Antigüedad : Entre 10 y 20 años', 'Conservación : En buen estado', 'Gastos de comunidad : Entre 20 y 40€', 'Referencia : 4520105-000039', 'Armarios empotrados : 2', 'Tipo suelo : Gres', 'Vidrios dobles', 'Carpintería exterior : Aluminio', 'Chimenea', 'Cocina equipada', 'Comedor', 'Garaje : 1', 'Portero automático', 'Ascensor', 'Adaptado a personas con movilidad reducida', 'Jardín : Comunitario', 'Piscina : Comunitaria', 'Orientación : Norte', 'Soleado', 'Se aceptan mascotas', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de INMUEBLES COSTA MEDITERRANEA,1674342360.0,1697656527329218,35053044250,520105
