price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
110000.0,Apartamento en venta en Centro,Centro-La Estación-Prado de La Laguna (San Lorenzo de El Escorial),40.5919548,-4.1480349, INB340-A039,  En trámite, 1, En buen estado, 50 m², 2
235000.0,Apartamento en venta en Calle del Ángel,"Calle del Ángel. Palacio, Centro (Madrid Capital)",40.4098353,-3.7127895, SA56-PH 499,  En trámite, 1, Reformado, 37 m², 1
360000.0,Apartamento en venta en Palacio,"Palacio, Centro (Madrid Capital)",40.4165963,-3.7074767, 4994318-VF-460,  Disponible, 1, Reformado, 52 m², 1
349999.0,Apartamento en venta en Calle de Leganitos,"Calle de Leganitos. Palacio, Centro (Madrid Capital)",40.4210917,-3.7098445, EP319-VYP.346M,  En trámite, 1,, 50 m², 1
147260.0,Apartamento en venta en Avd Naciones,Cerro-El Molino (Fuenlabrada),40.2856063972758,-3.80293690694442, 500185-007846,  Disponible, 1, A estrenar, 55 m², 1
580000.0,Apartamento en venta en Calle del Pinar,"Calle del Pinar. El Viso, Chamartín (Madrid Capital)",40.4381108,-3.687628, IF77045-I-00XGY9-W-02TB74,  En trámite, 1, En buen estado, 62 m², 1
425000.0,"Apartamento en venta en Paseo de la Habana, cerca de Calle de Balbina Valverde","Paseo de la Habana, cerca de Calle de Balbina Valverde. El Viso, Chamartín (Madrid Capital)",40.4492791,-3.6884136, SA88-DS-P22462,  Disponible, 1, A estrenar, 52 m², 1
450000.0,Apartamento en venta en Chamartin,"El Viso, Chamartín (Madrid Capital)",40.4484327,-3.6883086, IF77045-I-00WWGG-W-02RZ3Z,  Disponible, 1, En buen estado, 60 m², 1
820000.0,"Apartamento en venta en Calle de Víctor de la Serna, 32, cerca de Calle de Uruguay","Calle de Víctor de la Serna, 32, cerca de Calle de Uruguay. Hispanoamérica, Chamartín (Madrid Capital)",40.4536938,-3.6717612, EP805-PR0483,  Disponible, 3,, 170 m², 5
900000.0,"Apartamento en venta en Calle de Jiloca, 3","Calle de Jiloca, 3. Hispanoamérica, Chamartín (Madrid Capital)",40.4524434,-3.6796704, EP805-1293,  Pendiente de completar, 3,, 191 m², 5
625000.0,"Apartamento en venta en Calle de Juan Ramón Jiménez, 8","Calle de Juan Ramón Jiménez, 8. Hispanoamérica, Chamartín (Madrid Capital)",40.4582,-3.68668, SA92-106628/EV,  En trámite, 1, En buen estado, 85 m², 1
