price,lat,lng,updated,type,paseo,carretera,bulevar,autovia,calle,parque,plaza,avenida,publisher,age,garage,lift,surface,net_surface,garden,rooms,condition,bathrooms
140260.0,40.2494629,-3.8295042,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,10.0,no,yes,53.0,43.0,no,1.0, Reformado,1.0
950000.0,40.4205588,-3.6783814,1674169740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,110.0,100.0,no,3.0, A estrenar,2.0
965000.0,40.4178077,-3.6701719,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,123.0,,no,2.0,,2.0
840000.0,40.4179183,-3.6730201,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,100.0,,no,2.0,,2.0
670000.0,40.4181733,-3.6704815,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,125.0,,no,4.0,,2.0
1150000.0,40.4156184,-3.6775496,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,158.0,,no,4.0,,3.0
,,,,,0,0,0,0,0,0,0,0,particular,,no,no,,,no,,,
225000.0,40.586606,-4.1333402,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,85.0,85.0,no,3.0, En buen estado,2.0
,40.4174449,-3.6892807,1672614180.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,730.0,,no,6.0, A reformar,5.0
759000.0,40.4149821,-3.6902737,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,55.0,,no,1.0,,1.0
247500.0,40.4243555,-3.6974291,1672614600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,54.0,50.0,no,1.0,,1.0
2600000.0,40.4219726,-3.6925944,1673651340.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,382.0,260.0,no,3.0,,4.0
775000.0,40.4247397,-3.6922473,1672873800.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,yes,77.0,59.0,no,1.0, En buen estado,1.0
185000.0,40.42924592,-3.705888242,1674688140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,33.0,,no,, En buen estado,1.0
1450000.0,40.4242907,-3.6956174,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,191.0,,no,3.0,,3.0
870000.0,40.4264024,-3.6942157,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,128.0,,no,1.0,,1.0
789000.0,40.4224555,-3.6977796,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,107.0,,no,3.0,,3.0
1600000.0,40.4225963,-3.6955019,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,199.0,,no,2.0,,2.0
2400000.0,40.4247505,-3.6954213,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,184.0,,no,3.0,,4.0
3300000.0,40.427705,-3.6982604,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,323.0,,no,8.0,,2.0
318000.0,37.4138955,-1.5510079,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,79.0,65.0,no,2.0,,1.0
166000.0,40.3210523,-3.7541381,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,10.0,yes,yes,56.0,52.0,no,1.0,,1.0
343500.0,40.4908924,-3.8689704,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,90.0,90.0,no,2.0,,1.0
250000.0,40.493021,-3.873251,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,92.0,92.0,no,2.0,,2.0
243347.0,40.4932887,-3.8690408,1673219340.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,54.0,,no,1.0,,1.0
145000.0,40.4935999,-3.8749995,1673392020.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,10.0,no,no,54.0,52.0,no,2.0, En buen estado,1.0
169000.0,40.3941414,-3.7438832,1673651340.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,87.0,78.0,no,4.0,,2.0
119000.0,40.3944251,-3.7351276,1672960200.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,no,32.0,30.0,no,1.0, A estrenar,1.0
130000.0,40.4252163,-3.5538936,1672960200.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,no,44.0,43.0,no,2.0, A estrenar,1.0
128000.0,40.2454897,-3.6995904,1674083100.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,5.0,no,yes,68.0,,no,1.0, En buen estado,1.0
128000.0,40.247094136,-3.699631637,1674083100.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,67.0,,no,1.0, En buen estado,1.0
133000.0,40.247094136,-3.699631637,1674428700.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,5.0,no,yes,70.0,,no,1.0, A reformar,1.0
193000.0,40.253350817,-3.700906562,1672960200.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,10.0,yes,yes,60.0,45.0,no,1.0, En buen estado,1.0
180000.0,40.3266,-3.76962,1672614600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,50.0,,no,1.0, En buen estado,1.0
354223.0,40.388601,-3.693635,1674256140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,62.0,,no,1.0, A estrenar,1.0
366041.0,40.388601,-3.693635,1672614600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,61.0,,no,1.0, A estrenar,1.0
367539.0,40.388601,-3.693635,1675033740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,62.0,,no,1.0, A estrenar,1.0
356882.0,40.388601,-3.693635,1674860940.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,61.0,,no,1.0, A estrenar,1.0
315000.0,40.3904,-3.68884,1674256020.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,yes,47.0,36.0,no,1.0,,1.0
495000.0,40.4289168,-3.6755893,1674860940.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,57.0,,no,1.0, A reformar,1.0
1450000.0,40.4297708,-3.6781019,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,136.0,,no,3.0,,4.0
348900.0,40.4311968,-3.6783684,1673651340.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,yes,yes,46.0,,no,1.0, En buen estado,1.0
460000.0,,,1673996940.0,Apartamento,0,0,0,0,0,0,0,0,particular,30.0,yes,yes,67.0,,no,2.0, A reformar,1.0
1490000.0,40.4320339,-3.6779276,1674169740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,yes,yes,138.0,120.0,no,4.0, A estrenar,3.0
649000.0,40.428659,-3.6724541,1672701000.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,63.0,,no,2.0, En buen estado,2.0
815000.0,40.4333958,-3.6785697,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,97.0,,no,2.0,,2.0
1080000.0,40.4349959,-3.6776575,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,125.0,,no,3.0,,2.0
750000.0,40.4343013,-3.676583,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,108.0,,no,2.0,,2.0
1490000.0,40.4322908,-3.6767586,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,147.0,,no,3.0, En buen estado,4.0
879000.0,40.4297363,-3.6835115,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,87.0,,no,2.0,,2.0
1150000.0,40.4348577,-3.6774652,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,147.0,,no,4.0,,4.0
