price,title,location,lat,lng,characteristics
240.000 €,"Piso en venta en Ronda de Outeiro, cerca de Avenida de las Conchiñas","Ronda de Outeiro, cerca de Avenida de las Conchiñas. Agra do Orzán-O Ventorillo (A Coruña Capital)",43.3611691,-8.4213378,"['Superficie construida : 77 m²', 'Superficie útil : 70 m²', 'Habitaciones : 2', 'Baños : 2', 'Planta : 10ª', 'Interior : Salón', 'Exterior : Dormitorios', 'Antigüedad : Más de 50 años', 'Conservación : Reformado', 'Gastos de comunidad : Entre 20 y 40€', 'Referencia : 997229-22146', 'Armarios empotrados : Más de 2', 'Tipo suelo : Tarima flotante', 'Vidrios dobles', 'Carpintería exterior : PVC', 'Ascensor', 'Adaptado a personas con movilidad reducida', 'Soleado', 'Clasificación:  Disponible', 'Emisiones:  20 Kg CO2/m2 año  A B C D E F G']"
650.000 €,Chalet en venta en Alfeiran (Rutis),Alfeiran (Rutis) (Culleredo),43.319067816,-8.396256517,"['Superficie construida : 300 m²', 'Superficie útil : 285 m²', 'Superficie solar : 14.745 m²', 'Habitaciones : 5', 'Baños : 3', 'Antigüedad : Entre 20 y 30 años', 'Conservación : En buen estado', 'Referencia : 4510177-CH0159', 'Armarios empotrados : En todos los dormitorios', 'Carpintería interior : Roble', 'Tipo suelo : Parquet', 'Vidrios dobles : Ventanas oscilo-batientes', 'Carpintería exterior : Aluminio', 'Teléfono', 'Calefacción : Eléctrica', 'Chimenea : En construcción aneja', 'Cocina equipada : Equipada, mas office', 'Comedor : Independiente del salón principal', 'Lavadero : Construcciones auxiliares', 'Garaje : Más de 2', 'Terraza', 'Jardín : Propio', 'Piscina : Propia', 'Orientación : Sureste', 'Urbanizado', 'Calle alumbrada', 'Calle asfaltada', 'Clasificación:  En trámite', 'Pedir más información']"
875.000 €,Piso en venta en Avd Calvo Sotelo-Paseo de los Puentes-Riazor,Ensanche (A Coruña Capital),43.364850076,-8.413309433,"['Superficie construida : 203 m²', 'Habitaciones : 4', 'Baños : 3', 'Planta : 7ª', 'Antigüedad : Entre 5 y 10 años', 'Referencia : EP446-R3257', 'Clasificación:  En trámite', 'Pedir más información']"
210.000 €,Piso en venta en Parque Santa Margarita-Avda. Finisterre,Agra do Orzán-O Ventorillo (A Coruña Capital),43.3609559,-8.4161649,"['Superficie construida : 116 m²', 'Habitaciones : 4', 'Baños : 2', 'Referencia : XA194-VP15010024', 'Clasificación:  En trámite', 'Pedir más información']"
430.000 €,"Piso en venta en Calle del Hospital, 15","Calle del Hospital, 15. Cidade Vella-Atochas-Pescadería (A Coruña Capital)",43.3735,-8.3985,"['Superficie construida : 86 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 5ª', 'Conservación : En buen estado', 'Referencia : IF7256-A2646MP', 'Amueblado', 'Armarios empotrados : 1', 'Calefacción : Central', 'Garaje : 1', 'Trastero', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
180.000 €,Piso en venta en Zona La Conveira,Culleredo,43.322007345,-8.383773914,"['Superficie construida : 94 m²', 'Habitaciones : 3', 'Baños : 2', 'Referencia : XA194-VP15174116', 'Clasificación:  En trámite', 'Pedir más información']"
170.000 €,Piso en venta en Calle de Chile,Calle de Chile. Catro Camiños-A Gaiteira (A Coruña Capital),43.3525715,-8.4042987,"['Superficie construida : 87 m²', 'Habitaciones : 3', 'Baños : 1', 'Conservación : En buen estado', 'Referencia : IF20-049.36788', 'Tipo suelo : Parquet', 'Calefacción : Gas natural', 'Cocina', 'Puerta blindada', 'Clasificación:  En trámite', 'Pedir más información']"
190.000 €,Apartamento en venta en Centro - Juan Flórez - Plaza Pontevedra - Falperra - Santa Lucía,Os Mallos-A Falperra (A Coruña Capital),43.3597936,-8.4060145,"['Superficie construida : 45 m²', 'Habitaciones : 1', 'Baños : 1', 'Conservación : En buen estado', 'Referencia : IF7256-V1152C', 'Amueblado', 'Armarios empotrados : 1', 'Tipo suelo : Parquet', 'Calefacción : Eléctrica', 'Cocina', 'Garaje : 1', 'Trastero', 'Portero automático', 'Ascensor', 'Orientación : Al mar', 'Clasificación:  En trámite', 'Pedir más información']"
145.000 €,Piso en venta en Sada,Sada,43.348870916,-8.25406219,"['Superficie construida : 44 m²', 'Superficie útil : 40 m²', 'Habitaciones : 1', 'Baños : 1', 'Planta : 4ª', 'Gastos de comunidad : Entre 20 y 40€', 'Referencia : SA418-699139/3065', 'Armarios empotrados : 1', 'Calefacción : Gas natural', 'Comedor', 'Trastero', 'Puerta blindada', 'Ascensor', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
219.000 €,Piso en venta en Calle Eugenio F Granell,Calle Eugenio F Granell. Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),43.3457349,-8.4107374,"['Superficie construida : 70 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 2ª', 'Gastos de comunidad : Entre 60 y 80€', 'Referencia : SA1112-5662B/5394', 'Armarios empotrados : 1', 'Calefacción : Central', 'Comedor', 'Garaje : 1', 'Trastero', 'Ascensor', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:  22 Kg CO2/m2 año  A B C D E F G']"
195.000 €,"Piso en venta en Calle de Oriente, 15","Calle de Oriente, 15. Monte Alto-Adormideras (A Coruña Capital)",43.379586757685,-8.4027482595153,"['Superficie construida : 68 m²', 'Superficie útil : 57 m²', 'Habitaciones : 2', 'Baños : 1', 'Exterior', 'Referencia : AG213-B263-1', 'Armarios empotrados', 'Tipo suelo : Tarima normal', 'Calefacción : Electrica', 'Cocina : Americana', 'Puerta blindada', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
170.000 €,Piso en venta en *El Burgo,Culleredo,43.315549705,-8.366982586,"['Superficie construida : 87 m²', 'Superficie útil : 70 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 4ª', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : 194431213065-725048/3065', 'Amueblado', 'Armarios empotrados : 1', 'Calefacción : Gas natural', 'Trastero', 'Ascensor', 'Orientación : Noreste', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
165.000 €,Piso en venta en Avenida de las Conchiñas,Avenida de las Conchiñas. Agra do Orzán-O Ventorillo (A Coruña Capital),43.3621764,-8.4182873,"['Superficie construida : 94 m²', 'Superficie útil : 85 m²', 'Habitaciones : 3', 'Baños : 1', 'Exterior', 'Conservación : En buen estado', 'Gastos de comunidad : Entre 60 y 80€', 'Referencia : SA2687-1642', 'Trastero', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
198.000 €,Casa en venta en Calle Beldoña,Calle Beldoña. Abegondo,43.2530095947374,-8.2609087228775,"['Superficie construida : 300 m²', 'Habitaciones : 4', 'Baños : 1', 'Conservación : En buen estado', 'Referencia : PA30-I000172-C001291', 'Carpintería interior : Sin especificar', 'Tipo suelo : Sin especificar', 'Calefacción : Si, sin especificar', 'Cocina : Cocina amueblada.', 'Comedor', 'Garaje', 'Clasificación:  En trámite', 'Pedir más información']"
149.000 €,Piso en venta en Avenida de Finisterre,Avenida de Finisterre. Sagrada Familia-Vioño (A Coruña Capital),43.3554474,-8.4276368,"['Superficie construida : 87 m²', 'Habitaciones : 2', 'Baños : 1', 'Conservación : A reformar', 'Referencia : IF20-049.36572', 'Armarios empotrados : 1', 'Tipo suelo : Parquet', 'Cocina', 'Ascensor', 'Orientación : Al mar', 'Clasificación:  En trámite', 'Pedir más información']"
325.000 €,"Piso en venta en Calle de Juan Flórez, cerca de Calle de José Cornide","Calle de Juan Flórez, cerca de Calle de José Cornide. Ensanche (A Coruña Capital)",43.3596067,-8.4057587,"['Superficie construida : 97 m²', 'Superficie útil : 89 m²', 'Habitaciones : 5', 'Baños : 2', 'Planta : 7ª', 'Conservación : En buen estado', 'Referencia : SA322-PC-2068', 'Amueblado', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
420.000 €,Casa en venta en Culleredo/ Tercera Ronda,Culleredo,43.31064773,-8.382370512,"['Superficie construida : 215 m²', 'Habitaciones : 3', 'Superficie solar : 3.601 m²', 'Baños : 2', 'Antigüedad : Entre 20 y 30 años', 'Referencia : XA27-02277', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Emisiones:   A B C D E F G', 'Pedir más información']"
230.100 €,Piso en venta en Calle Ferrer,Calle Ferrer. Eirís-As Xubias-Pasaxe (A Coruña Capital),43.3427551,-8.3922914,"['Superficie construida : 99 m²', 'Habitaciones : 2', 'Baños : 2', 'Conservación : A estrenar', 'Referencia : 4993266-0045', 'Garaje', 'Trastero', 'Ascensor', 'Terraza', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Emisiones:   A B C D E F G', 'Pedir más información']"
158.000 €,Piso en venta en Corte Ingles,Catro Camiños-A Gaiteira (A Coruña Capital),43.3563711,-8.4002707,"['Superficie construida : 78 m²', 'Superficie útil : 70 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 2ª', 'Referencia : SA477-721842/3033', 'Armarios empotrados : 1', 'Teléfono', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
150.000 €,"Casa en venta en Ronda de Outeiro, cerca de Avenida de Finisterre","Ronda de Outeiro, cerca de Avenida de Finisterre. Sagrada Familia-Vioño (A Coruña Capital)",43.35934673,-8.420068196,"['Superficie construida : 95 m²', 'Superficie útil : 88 m²', 'Habitaciones : 3', 'Baños : 1', 'Conservación : A reformar', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : 4517326-002035', 'Carpintería exterior : Aluminio', 'Adaptado a personas con movilidad reducida', 'Clasificación:  En trámite', 'Pedir más información']"
240.000 €,Piso en venta en Calle José Vázquez Rozas,Calle José Vázquez Rozas. Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),43.337502198,-8.409460404,"['Superficie construida : 116 m²', 'Superficie útil : 100 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 13ª', 'Referencia : 197429363065-727629/3065', 'Armarios empotrados : 1', 'Calefacción : Central', 'Garaje : 1', 'Trastero', 'Puerta blindada', 'Ascensor', 'Orientación : Norte', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
350.000 €,Chalet en venta en Fontán,Fontán (Sada),43.327855039,-8.299864933,"['Superficie construida : 293 m²', 'Superficie útil : 280 m²', 'Superficie solar : 1.200 m²', 'Habitaciones : 4', 'Baños : 3', 'Antigüedad : Entre 30 y 50 años', 'Conservación : En buen estado', 'Referencia : 4997229-34715', 'Armarios empotrados : Más de 2', 'Tipo suelo : Parquet', 'Carpintería exterior : Aluminio', 'Calefacción : Gasoil', 'Cocina equipada', 'Comedor', 'Garaje : 2', 'Terraza', 'Jardín : Propio', 'Clasificación:  En trámite', 'Pedir más información']"
209.000 €,"Piso en venta en Calle de Baldayo, 7","Calle de Baldayo, 7. Os Mallos-A Falperra (A Coruña Capital)",43.353907819506,-8.4124850695064,"['Superficie construida : 76 m²', 'Superficie útil : 65 m²', 'Habitaciones : 3', 'Baños : 2', 'Exterior', 'Referencia : AG213-B189-4', 'Tipo suelo : Tarima normal', 'Vidrios dobles', 'Calefacción : Electrica', 'Cocina : Americana', 'Puerta blindada', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
90.000 €,Piso en venta en Calle del Páramo,Calle del Páramo. Agra do Orzán-O Ventorillo (A Coruña Capital),43.3642471,-8.4216107,"['Superficie construida : 85 m²', 'Habitaciones : 3', 'Baños : 1', 'Conservación : A reformar', 'Referencia : IF20-049.36771', 'Cocina : Cocina necesita reforma', 'Clasificación:  En trámite', 'Pedir más información']"
190.000 €,"Casa en venta en Avenida de Barrié de la Maza, 75, cerca de Calle de las Tejeras","Avenida de Barrié de la Maza, 75, cerca de Calle de las Tejeras. Sada",43.35117,-8.25781,"['Superficie construida : 265 m²', 'Superficie útil : 250 m²', 'Superficie solar : 263 m²', 'Antigüedad : Más de 50 años', 'Conservación : En buen estado', 'Referencia : NI622-1485', 'Clasificación:  En trámite', 'Pedir más información']"
667.000 €,Piso en venta en Cidade Xardín-Cidade Escolar,Cidade Xardín-Cidade Escolar. Cidade Xardín-Cidade Escolar (A Coruña Capital),43.371352,-8.418846,"['Superficie construida : 165 m²', 'Habitaciones : 4', 'Baños : 2', 'Conservación : A estrenar', 'Referencia : FP2-79872', 'Clasificación:  En trámite', 'Pedir más información']"
